                                                                                                                                                                          action|                                                    goto
       ;     IDN       =      IF    THEN    ELSE   WHILE      DO       {       }       >       <       +       -       *       /       (       )    INT8   INT10   INT16       #|       P       L       S       E       C       T       F
       0       4       0       5       0       0       6       0       7       0       0       0       0       0       0       0       0       0       0       0       0       0|       1       2       3       0       0       0       0
       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0     end|       0       0       0       0       0       0       0
      -3       4      -3       5      -3      -3       6      -3       7      -3      -3      -3      -3      -3      -3      -3      -3      -3      -3      -3      -3      -3|       8       2       3       0       0       0       0
       9       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0|       0       0       0       0       0       0       0
       0       0      10       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0|       0       0       0       0       0       0       0
       0      16       0       0       0       0       0       0       0       0       0       0       0       0       0       0      15       0      17      18      19       0|       0       0       0      12      11      13      14
       0      16       0       0       0       0       0       0       0       0       0       0       0       0       0       0      15       0      17      18      19       0|       0       0       0      12      20      13      14
       0       4       0       5       0       0       6       0       7       0       0       0       0       0       0       0       0       0       0       0       0       0|      21       2       3       0       0       0       0
      -6      -6      -6      -6      -6      -6      -6      -6      -6      -6      -6      -6      -6      -6      -6      -6      -6      -6      -6      -6      -6      -6|       0       0       0       0       0       0       0
      -9      -9      -9      -9      -9      -9      -9      -9      -9      -9      -9      -9      -9      -9      -9      -9      -9      -9      -9      -9      -9      -9|       0       0       0       0       0       0       0
       0      16       0       0       0       0       0       0       0       0       0       0       0       0       0       0      15       0      17      18      19       0|       0       0       0      22       0      13      14
       0       0       0       0      23       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0|       0       0       0       0       0       0       0
       0       0      26       0       0       0       0       0       0       0      24      25      27      28       0       0       0       0       0       0       0       0|       0       0       0       0       0       0       0
     -56     -56     -56     -56     -56     -56     -56     -56     -56     -56     -56     -56     -56     -56      29      30     -56     -56     -56     -56     -56     -56|       0       0       0       0       0       0       0
